id,name,type,symptom_keywords,cause_tags,diet_compatibility,lifestyle_tags,age_group_tags,gender_tags,food_sources,description,citation
1,Biotin (Hair & Nails),vitamin,"hair loss, hair thinning, brittle nails, weak nails, nail splitting, hair breakage, hair shedding, alopecia, hair regrowth, scalp health","hair,nails,skin,deficiency","vegan|veg|nonveg","sedentary|moderately_active","18-24|25-34|35-50","all","eggs, almonds, sweet potatoes, spinach, salmon, mushrooms, peanuts, sunflower seeds","Supports hair growth, strengthens nails, and prevents hair loss","https://ods.od.nih.gov/factsheets/Biotin-HealthProfessional/"
2,Iron,mineral,"hair loss, anemia, hair thinning, fatigue, pale skin, shortness of breath, dizziness, weakness, hair shedding","deficiency,blood,oxygen,hair","vegan|veg|nonveg","moderately_active","18-24|25-34|25-34","female","lentils, spinach, tofu, beans, red meat, fortified cereals, pumpkin seeds, chickpeas","Prevents anemia-related hair loss and supports oxygen transport","https://ods.od.nih.gov/factsheets/Iron-HealthProfessional/"
3,Zinc (Hair Growth),mineral,"hair loss, hair thinning, alopecia, poor wound healing, weak immunity, hair breakage, scalp issues, androgenetic alopecia","deficiency,immunity,hair,wound healing","vegan|veg|nonveg","active|moderately_active","18-24|25-34|35-50","all","pumpkin seeds, legumes, oysters, beef, cashews, chickpeas, hemp seeds, mushrooms","Essential for hair growth cycle and prevents telogen effluvium","https://ods.od.nih.gov/factsheets/Zinc-HealthProfessional/"
4,Vitamin B12 (Hair),vitamin,"hair loss, hair thinning, hair shedding, numbness, memory loss, anemia, fatigue, neurological symptoms, alopecia","deficiency,blood,neurological,hair","veg|nonveg","sedentary|moderately_active","25-34|35-50|50-65","all","eggs, dairy, fish, fortified plant milk, clams, beef, salmon","Prevents anemia-related hair loss and supports hair pigmentation","https://ods.od.nih.gov/factsheets/VitaminB12-HealthProfessional/"
5,Folate (Hair Health),vitamin,"hair loss, hair thinning, hair shedding, anemia, mouth sores, poor concentration, fatigue, weak immunity, alopecia","deficiency,blood,hair,cognition","vegan|veg|nonveg","moderately_active","18-24|25-34|35-50","all","spinach, lentils, beans, asparagus, avocado, citrus fruits, broccoli, chickpeas","Supports hair growth by promoting cell division and red blood cell formation","https://ods.od.nih.gov/factsheets/Folate-HealthProfessional/"
6,Vitamin D (Hair Loss),vitamin,"hair loss, alopecia, hair thinning, weak immunity, bone pain, muscle weakness, poor mood, seasonal affective, fatigue","deficiency,hair,immunity,hormonal,mood","veg|nonveg","sedentary|moderately_active","18-24|25-34|35-50|50-65","all","sunlight, fatty fish, egg yolks, mushrooms, fortified milk, salmon, mackerel","Regulates hair cycle and prevents androgenetic alopecia","https://ods.od.nih.gov/factsheets/VitaminD-HealthProfessional/"
7,Silica (Hair Nails Skin),mineral,"hair loss, hair thinning, brittle nails, weak nails, poor skin elasticity, collagen breakdown, hair breakage, weak hair","collagen,hair,nails,skin,connective tissue","vegan|veg|nonveg","sedentary","25-34|35-50|50-65","all","whole grains, horsetail, leafy greens, seeds, oats, bamboo, brown rice","Strengthens hair shaft structure and promotes hair thickness","https://ods.od.nih.gov/factsheets/Silicon-HealthProfessional/"
8,Vitamin A (Hair),vitamin,"hair loss, hair thinning, dry scalp, sebum imbalance, poor hair growth, alopecia, scalp dryness, hair brittleness","deficiency,hair,skin,vision","veg|nonveg","sedentary","18-24|25-34|35-50","all","carrots, sweet potatoes, spinach, kale, liver, orange vegetables, dairy, eggs","Supports scalp health and sebum production for hair moisture","https://ods.od.nih.gov/factsheets/VitaminA-HealthProfessional/"
9,Iron (Women Hair Loss),mineral,"hair loss, female pattern hair loss, hair thinning, anemia, fatigue, shortness of breath, dizziness, hair shedding, period issues","deficiency,blood,hair,female,reproductive","vegan|veg|nonveg","moderately_active","18-24|25-34|35-50","female","lentils, spinach, red meat, beans, tofu, fortified cereals, pumpkin seeds, chickpeas","Prevents iron-deficiency anemia which causes hair loss in women","https://ods.od.nih.gov/factsheets/Iron-HealthProfessional/"
10,Selenium (Hair),mineral,"hair loss, brittle hair, thyroid imbalance, weak immunity, hair thinning, antioxidant protection, alopecia","deficiency,hair,thyroid,antioxidant","vegan|veg|nonveg","moderately_active","25-34|35-50|50-65","all","brazil nuts, seafood, eggs, sunflower seeds, mushrooms, chicken, brown rice","Protects hair follicles from oxidative damage and supports thyroid","https://ods.od.nih.gov/factsheets/Selenium-HealthProfessional/"
